34312,1057,2458,2,7,2016-08-18 02:30:03.300355,2016-08-18 02:30:03.300355,agree,合,he2 
34796,5853,1792,5,0,2016-08-18 02:30:03.725213,2016-08-18 02:30:03.725213,any,谁,shui2 
34829,1159,572,2,1,2016-08-18 02:30:03.766791,2016-08-18 02:30:03.766791,apologize,歉,qian4 
35676,14121,2802,2,1,2016-08-18 02:30:04.512552,2016-08-18 02:30:04.512552,back,冀,ji4 
36304,13144,3182,1,1,2016-08-18 02:30:05.078892,2016-08-18 02:30:05.078892,bet,赌,du3 
37762,3155,1482,1,0,2016-08-18 02:30:06.353949,2016-08-18 02:30:06.353949,car,车,che1 
38289,16443,1493,2,9,2016-08-18 02:30:06.790116,2016-08-18 02:30:06.790116,charge,突,tu1 
38610,9130,1968,2,10,2016-08-18 02:30:07.083291,2016-08-18 02:30:07.083291,circle,匝,za1 
38956,1367,4005,1,0,2016-08-18 02:30:07.36458,2016-08-18 02:30:07.36458,cloud,云,yun2 
40203,1535,1998,2,6,2016-08-18 02:30:08.387216,2016-08-18 02:30:08.387216,convey,发,fa1 
41595,4825,366,5,8,2016-08-18 02:30:09.442845,2016-08-18 02:30:09.442845,dense,森然,sen1 ran2 
41687,3790,774,1,0,2016-08-18 02:30:09.517563,2016-08-18 02:30:09.517563,deputy,副,fu4 
43740,6857,3167,5,2,2016-08-18 02:30:11.138316,2016-08-18 02:30:11.138316,erect,剚,zi4 
44419,9237,2420,1,5,2016-08-18 02:30:11.674384,2016-08-18 02:30:11.674384,explanation,喻,yu4 
44598,9745,2988,5,3,2016-08-18 02:30:11.801595,2016-08-18 02:30:11.801595,extra,异,yi4 
44843,7131,1092,1,4,2016-08-18 02:30:11.962482,2016-08-18 02:30:11.962482,famine,饥,ji1 
45883,1464,2789,2,25,2016-08-18 02:30:12.694626,2016-08-18 02:30:12.694626,follow,则,ze2 
47435,8527,2708,1,1,2016-08-18 02:30:13.883267,2016-08-18 02:30:13.883267,hall,厅,ting1 
51476,3130,2697,2,7,2016-08-18 02:30:17.172977,2016-08-18 02:30:17.172977,match,伦,lun2 
51908,6244,1073,1,4,2016-08-18 02:30:17.602733,2016-08-18 02:30:17.602733,mind,德,de2 
52507,16663,3505,1,3,2016-08-18 02:30:18.116027,2016-08-18 02:30:18.116027,music,谱,pu3 
52597,8513,2872,5,5,2016-08-18 02:30:18.192028,2016-08-18 02:30:18.192028,narrow,逼,bi1 
52934,13560,2149,1,0,2016-08-18 02:30:18.48278,2016-08-18 02:30:18.48278,no,莫,mo4 
53192,7052,708,1,2,2016-08-18 02:30:18.709819,2016-08-18 02:30:18.709819,nurse,媬, 
54653,15087,870,1,0,2016-08-18 02:30:20.01236,2016-08-18 02:30:20.01236,phase,相,xiang1 
57508,13467,3997,5,0,2016-08-18 02:30:22.345131,2016-08-18 02:30:22.345131,red,红,hong2 
33666,4579,3681,2,0,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,放弃,fang4 qi4 
33667,9688,3681,2,1,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,抛弃,pao1 qi4 
33668,12577,3681,2,2,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,弃,qi4 
33669,12538,3681,2,3,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,舍弃,she4 qi4 
33670,10268,3681,2,4,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,背弃,bei4 qi4 
33671,13714,3681,2,5,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,摈弃,bin4 qi4 
33672,13455,3681,2,6,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,屏,ping2 
33673,196,3681,2,7,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,屏弃,ping2 qi4 
33674,10017,3681,2,8,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,丢弃,diu1 qi4 
33675,13140,3681,2,9,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,废弃,fei4 qi4 
33676,335,3681,2,10,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,罢休,ba4 xiu1 
33677,12065,3681,2,11,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,抛,pao1 
33678,16208,3681,2,12,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,撇弃,pie1 qi4 
33679,12515,3681,2,13,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,朅,qie4 
33680,11621,3681,2,14,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,扔下,reng1 xia4 
33681,10946,3681,2,15,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,舍,she4 
33682,7440,3681,2,16,2016-08-18 02:30:02.774858,2016-08-18 02:30:02.774858,abandon,捐,juan1 
33683,11571,4016,1,0,2016-08-18 02:30:02.787557,2016-08-18 02:30:02.787557,ability,能力,neng2 li4 
33684,11147,4016,1,1,2016-08-18 02:30:02.787557,2016-08-18 02:30:02.787557,ability,本领,ben3 ling3 
33685,10414,4016,1,2,2016-08-18 02:30:02.787557,2016-08-18 02:30:02.787557,ability,本事,ben3 shi4 
33686,1469,4016,1,3,2016-08-18 02:30:02.787557,2016-08-18 02:30:02.787557,ability,才,cai2 
33687,15106,4016,1,4,2016-08-18 02:30:02.787557,2016-08-18 02:30:02.787557,ability,材,cai2 
33688,15157,4016,1,5,2016-08-18 02:30:02.787557,2016-08-18 02:30:02.787557,ability,才干,cai2 gan1 
33689,9313,4016,1,6,2016-08-18 02:30:02.787557,2016-08-18 02:30:02.787557,ability,才能,cai2 neng2 
33690,10454,4016,1,7,2016-08-18 02:30:02.787557,2016-08-18 02:30:02.787557,ability,技,ji4 
33691,14817,4016,1,8,2016-08-18 02:30:02.787557,2016-08-18 02:30:02.787557,ability,伎,ji4 
33692,4755,4016,1,9,2016-08-18 02:30:02.787557,2016-08-18 02:30:02.787557,ability,能,neng2 
33693,2337,4016,1,10,2016-08-18 02:30:02.787557,2016-08-18 02:30:02.787557,ability,能耐,neng2 nai4 
33694,12754,4016,1,11,2016-08-18 02:30:02.787557,2016-08-18 02:30:02.787557,ability,埶,yi4 
33695,5803,4016,1,12,2016-08-18 02:30:02.787557,2016-08-18 02:30:02.787557,ability,蓺,yi4 
33696,12119,1731,5,0,2016-08-18 02:30:02.795937,2016-08-18 02:30:02.795937,able,能够,neng2 gou4 
33697,4755,1731,5,1,2016-08-18 02:30:02.795937,2016-08-18 02:30:02.795937,able,能,neng2 
33698,11571,1731,5,2,2016-08-18 02:30:02.795937,2016-08-18 02:30:02.795937,able,能力,neng2 li4 
33699,8541,1731,5,3,2016-08-18 02:30:02.795937,2016-08-18 02:30:02.795937,able,干,gan1 
33700,14398,1731,5,4,2016-08-18 02:30:02.795937,2016-08-18 02:30:02.795937,able,会,hui4 
33701,9037,1731,5,5,2016-08-18 02:30:02.795937,2016-08-18 02:30:02.795937,able,力足以做,li4 zu2 yi3 zuo4 
33702,10200,1731,5,6,2016-08-18 02:30:02.795937,2016-08-18 02:30:02.795937,able,贤,xian2 
33703,6325,1731,5,7,2016-08-18 02:30:02.795937,2016-08-18 02:30:02.795937,able,有能力,you3 neng2 li4 
33704,3241,2558,4,0,2016-08-18 02:30:02.803511,2016-08-18 02:30:02.803511,aboard,船上,chuan2 shang4 
35231,5819,2054,1,0,2016-08-18 02:30:04.106762,2016-08-18 02:30:04.106762,ash,灰,hui1 
